uppercase_file,lowercase_file,action,keep_file,delete_file,reason,uppercase_time,lowercase_time,uppercase_size,lowercase_size,size_diff
docs/htm/L1/XI2638.HTM,docs/htm/L1/XI2638.htm,keep_lowercase,docs/htm/L1/XI2638.htm,docs/htm/L1/XI2638.HTM,lowercase newer (2025-09-23 17:13:35.784424 vs 2025-09-23 10:31:40.806733),2025-09-23T10:31:40.806733,2025-09-23T17:13:35.784424,2479,2150,329
docs/htm/L1/XI2611.HTM,docs/htm/L1/XI2611.htm,keep_lowercase,docs/htm/L1/XI2611.htm,docs/htm/L1/XI2611.HTM,lowercase newer (2025-09-23 17:13:35.784424 vs 2025-09-23 10:31:40.806733),2025-09-23T10:31:40.806733,2025-09-23T17:13:35.784424,2487,2158,329
docs/htm/L1/XI2564.HTM,docs/htm/L1/XI2564.htm,keep_lowercase,docs/htm/L1/XI2564.htm,docs/htm/L1/XI2564.HTM,lowercase newer (2025-09-23 17:13:35.780328 vs 2025-09-23 10:31:40.806733),2025-09-23T10:31:40.806733,2025-09-23T17:13:35.780328,2434,2064,370
docs/htm/L1/XI2721.HTM,docs/htm/L1/XI2721.htm,keep_lowercase,docs/htm/L1/XI2721.htm,docs/htm/L1/XI2721.HTM,lowercase newer (2025-09-23 17:13:35.788520 vs 2025-09-23 10:31:40.810611),2025-09-23T10:31:40.810611,2025-09-23T17:13:35.788520,2470,2141,329
docs/htm/L1/XI2522.HTM,docs/htm/L1/XI2522.htm,keep_lowercase,docs/htm/L1/XI2522.htm,docs/htm/L1/XI2522.HTM,lowercase newer (2025-09-23 17:13:35.780328 vs 2025-09-23 10:31:40.806733),2025-09-23T10:31:40.806733,2025-09-23T17:13:35.780328,2420,2050,370
docs/htm/L1/XI2553.HTM,docs/htm/L1/XI2553.htm,keep_lowercase,docs/htm/L1/XI2553.htm,docs/htm/L1/XI2553.HTM,lowercase newer (2025-09-23 17:13:35.780328 vs 2025-09-23 10:31:40.806733),2025-09-23T10:31:40.806733,2025-09-23T17:13:35.780328,2487,2117,370
docs/htm/L1/XI2624.HTM,docs/htm/L1/XI2624.htm,keep_lowercase,docs/htm/L1/XI2624.htm,docs/htm/L1/XI2624.HTM,lowercase newer (2025-09-23 17:13:35.784424 vs 2025-09-23 10:31:40.806733),2025-09-23T10:31:40.806733,2025-09-23T17:13:35.784424,2505,2176,329
docs/htm/L1/XI2491.HTM,docs/htm/L1/XI2491.htm,keep_lowercase,docs/htm/L1/XI2491.htm,docs/htm/L1/XI2491.HTM,lowercase newer (2025-09-23 17:13:35.780328 vs 2025-09-23 10:31:40.798976),2025-09-23T10:31:40.798976,2025-09-23T17:13:35.780328,2450,2080,370
docs/htm/L1/XI2551.HTM,docs/htm/L1/XI2551.htm,keep_lowercase,docs/htm/L1/XI2551.htm,docs/htm/L1/XI2551.HTM,lowercase newer (2025-09-23 17:13:35.780328 vs 2025-09-23 10:31:40.806733),2025-09-23T10:31:40.806733,2025-09-23T17:13:35.780328,2544,2174,370
docs/htm/L1/XI2690.HTM,docs/htm/L1/XI2690.htm,keep_lowercase,docs/htm/L1/XI2690.htm,docs/htm/L1/XI2690.HTM,lowercase newer (2025-09-23 17:13:35.788520 vs 2025-09-23 10:31:40.810611),2025-09-23T10:31:40.810611,2025-09-23T17:13:35.788520,2522,2234,288
